# gunzip -c exp2/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_v1 
# Started at Wed Oct 31 22:19:45 EDT 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 14.3162393162% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 60.4767628205% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 79.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.7,29) frames.
At utterance begin, Y_B accounts for 16.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,21) frames.
At utterance begin, sil accounts for 14.3% of phone occurrences, with duration (median, mean, 95-percentile) is (26,42.6,147) frames.
At utterance begin, AH_B accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,19.4,44) frames.
At utterance begin, S_B accounts for 6.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,20) frames.
At utterance begin, oov_S accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (30,34.8,80) frames.
At utterance begin, W_B accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,16) frames.
At utterance begin, OW_B accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,19) frames.
At utterance begin, DH_B accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
At utterance begin, B_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
At utterance begin, AY_S accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,23) frames.
At utterance begin, M_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,19) frames.
At utterance begin, IH_B accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
At utterance begin, AH_S accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (22,26.8,62) frames.
At utterance begin, N_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
At utterance begin, M_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (24,29.0,74) frames.
At utterance begin, HH_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
At utterance begin, OW_S accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.8,39) frames.
At utterance begin, AO_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,25) frames.
At utterance begin, K_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,13) frames.
At utterance begin, R_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
At utterance begin, AE_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,22) frames.
At utterance begin, L_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,11) frames.
At utterance begin, T_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
At utterance begin, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
At utterance begin, F_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,16) frames.
At utterance end, sil accounts for 60.5% of phone occurrences, with duration (median, mean, 95-percentile) is (33,48.9,140) frames.
At utterance end, nonsilence accounts for 33.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.5,29) frames.
At utterance end, oov_S accounts for 6.4% of phone occurrences, with duration (median, mean, 95-percentile) is (49,60.0,146) frames.
At utterance end, AE_E accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.9,29) frames.
At utterance end, T_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.6,14) frames.
At utterance end, M_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.8,40) frames.
At utterance end, EY_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.6,24) frames.
At utterance end, S_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,26) frames.
At utterance end, N_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,19) frames.
At utterance end, Z_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,22) frames.
At utterance end, IY_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,23) frames.
At utterance end, OW_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.6,30) frames.
