# gunzip -c exp2/tri2a_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_v1 
# Started at Thu Nov  1 00:33:57 EDT 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.863635235% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 53.3871862145% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 80.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.6,28) frames.
At utterance begin, Y_B accounts for 15.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,21) frames.
At utterance begin, sil accounts for 11.9% of phone occurrences, with duration (median, mean, 95-percentile) is (30,49.7,172) frames.
At utterance begin, oov_S accounts for 7.3% of phone occurrences, with duration (median, mean, 95-percentile) is (30,35.5,84) frames.
At utterance begin, S_B accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,20) frames.
At utterance begin, AH_B accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.5,43) frames.
At utterance begin, OW_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,19) frames.
At utterance begin, W_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
At utterance begin, DH_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
At utterance begin, AY_S accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,23) frames.
At utterance begin, IH_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,15) frames.
At utterance begin, B_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
At utterance begin, M_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,19) frames.
At utterance begin, AH_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (22,25.7,61) frames.
At utterance begin, N_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,18) frames.
At utterance begin, HH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
At utterance begin, M_S accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (23,27.0,62) frames.
At utterance begin, AE_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.6,24) frames.
At utterance begin, OW_S accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.1,42) frames.
At utterance begin, K_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,14) frames.
At utterance begin, R_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
At utterance begin, AO_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,23) frames.
At utterance begin, L_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
At utterance begin, T_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
At utterance begin, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
